Event ID,Ticket ID,Ticket Type,Ticket Price,Ticket Availability,Ticket Sales Start Date,Ticket Sales End Date,Attendee Name,Attendee Contact Information,Attendee Age,Attendee Gender,Attendee Location,Check-in Status,Event Name,Event Type,Event Date,Event Time,Event Description,Event Organizer,Event Duration
4,6224,VIP,9000,195,8/14/2024,9/23/2024,Destiny Woods,ymorse@example.com,56,Female,Lake Kathrynbury,Checked In,Victory Dash,Sports,8/19/2024,0:31:51,Red policy red energy day manager. South attention seem close.,Graham-Espinoza,8
6,3088,General,7500,67,7/18/2024,9/1/2024,Heather Morgan,ashley00@example.com,40,Female,North Madelinefurt,Checked In,Google IO,Conference,9/17/2024,16:40:27,Score might value surface. Option onto act part run.,"Dominguez, Walters and Cooper",7
4,7122,VIP,9000,7,7/31/2024,8/5/2024,Virginia Golden,ericgordon@example.net,22,Male,New Tammy,Checked In,Victory Dash,Sports,8/19/2024,0:31:51,Red policy red energy day manager. South attention seem close.,Graham-Espinoza,8
5,5819,VIP,5000,244,8/8/2024,9/10/2024,Kevin Anderson,lucasmelton@example.org,39,Male,New Martha,Not Checked In,Green Fiesta,Concert,8/30/2024,10:20:35,Music already official follow treatment yes. Exactly pressure general break.,White Group,4
6,3617,General,7500,224,8/22/2024,9/28/2024,Nathan Sanchez,bclayton@example.net,50,Male,Webbville,Not Checked In,Google IO,Conference,9/17/2024,16:40:27,Score might value surface. Option onto act part run.,"Dominguez, Walters and Cooper",7
6,7947,VIP,9500,158,8/13/2024,9/14/2024,Gail Simpson,nelsonmario@example.com,35,Male,Shannonport,Checked In,Google IO,Conference,9/17/2024,16:40:27,Score might value surface. Option onto act part run.,"Dominguez, Walters and Cooper",7
7,4414,General,4000,430,7/8/2024,9/3/2024,Ryan Crawford,paulphillip@example.net,32,Female,East Jessica,Not Checked In,Mathletes,Workshop,9/17/2024,0:33:27,Human dream to dog woman. Energy cause best feeling guess week improve.,"Blanchard, Montoya and Allen",7
1,3404,General,5000,152,7/16/2024,7/30/2024,Megan Gutierrez,michaelmartinez@example.org,67,Female,New Heathermouth,Not Checked In,Astral Affair,Conference,8/25/2024,10:24:12,Likely charge admit result recent dog. Although manager staff require democratic.,"Oneal, Colon and White",5
6,2765,Pre Sold,6500,260,8/17/2024,9/17/2024,Joshua Davenport,ybauer@example.com,70,Female,Henryview,Checked In,Google IO,Conference,9/17/2024,16:40:27,Score might value surface. Option onto act part run.,"Dominguez, Walters and Cooper",7
6,4602,General,7500,136,9/2/2024,9/28/2024,Ann Cline,antonioorozco@example.net,35,Male,Stevenbury,Not Checked In,Google IO,Conference,9/17/2024,16:40:27,Score might value surface. Option onto act part run.,"Dominguez, Walters and Cooper",7
1,6129,General,5000,338,8/2/2024,8/30/2024,Michael Ramirez,joshua05@example.net,70,Female,East Heidi,Not Checked In,Astral Affair,Conference,8/25/2024,10:24:12,Likely charge admit result recent dog. Although manager staff require democratic.,"Oneal, Colon and White",5
6,5147,General,7500,487,8/2/2024,9/19/2024,Donald Clark,patricia77@example.org,53,Male,Woodmouth,Checked In,Google IO,Conference,9/17/2024,16:40:27,Score might value surface. Option onto act part run.,"Dominguez, Walters and Cooper",7
4,6933,General,6000,358,7/30/2024,8/12/2024,Anthony Blake,perezwilliam@example.net,24,Male,Port Anna,Checked In,Victory Dash,Sports,8/19/2024,0:31:51,Red policy red energy day manager. South attention seem close.,Graham-Espinoza,8
7,5841,VIP,7000,182,8/3/2024,9/23/2024,Joseph Cruz,mjones@example.net,68,Male,Parkermouth,Not Checked In,Mathletes,Workshop,9/17/2024,0:33:27,Human dream to dog woman. Energy cause best feeling guess week improve.,"Blanchard, Montoya and Allen",7
1,7481,General,5000,330,8/23/2024,9/14/2024,Becky Powell,rbridges@example.net,67,Male,Mcintyreport,Not Checked In,Astral Affair,Conference,8/25/2024,10:24:12,Likely charge admit result recent dog. Although manager staff require democratic.,"Oneal, Colon and White",5
